,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
10,304039.19674897956,4243501.755489796,15074.556408163277,-193.4499139862096,-198.52008043692223,5.070166450712634
11,305546.6523897959,4243501.755489796,16582.01204897964,-194.72246186151858,-197.06898517408897,2.3465233125703833
12,307054.10803061223,4243501.755489796,18089.467689795943,-198.47185417010033,-196.11716862637823,-2.3546855437220984
13,308561.56367142854,4243501.755489796,19596.923330612248,-199.35418478048743,-195.80452628456385,-3.5496584959235804
14,310069.0193122449,4243501.755489796,21104.37897142861,-194.08265974796433,-195.42358501209344,1.3409252641291118
15,311576.4749530612,4243501.755489796,22611.834612244915,-190.3008026810269,-194.82537381170567,4.5245711306787655
16,313083.93059387757,4243501.755489796,24119.290253061277,-190.23856154224785,-194.2791623781842,4.0406008359363454
17,314591.38623469387,4243501.755489796,25626.74589387758,-188.6006434933562,-193.67285021368218,5.072206720325994
18,316098.8418755102,4243501.755489796,27134.201534693886,-187.69900876109847,-193.12334838347587,5.424339622377403
19,317606.29751632654,4243501.755489796,28641.65717551025,-191.63716052578397,-192.9423732607941,1.3052127350101443
20,319113.75315714284,4243501.755489796,30149.112816326553,-193.35496374782008,-192.90111048160125,-0.4538532662188288
21,320621.20879795915,4243501.755489796,31656.568457142857,-197.92340892465563,-193.3077918396418,-4.615617085013838
22,322128.6644387755,4243501.755489796,33164.02409795922,-199.2795831505412,-193.72207559318932,-5.557507557351897
23,323636.1200795918,4243501.755489796,34671.479738775524,-202.43967368583048,-194.0827864582557,-8.356887227574788
24,325143.5757204082,4243501.755489796,36178.93537959189,-202.24279812638335,-194.34538767151898,-7.897410454864371
25,326651.0313612245,4243501.755489796,37686.39102040819,-199.72811603659,-194.85861097048493,-4.869505066105063
26,328158.48700204084,4243501.755489796,39193.846661224554,-197.74074629817127,-195.53496948113442,-2.205776817036849
27,329665.94264285715,4243501.755489796,40701.30230204086,-195.69339114711923,-196.03086308157728,0.33747193445805124
28,331173.39828367345,4243501.755489796,42208.75794285716,-189.37846017669614,-196.10157368915364,6.723113512457502
29,332680.8539244898,4243501.755489796,43716.213583673525,-192.7458928301719,-196.56038133179672,3.8144885016248224
30,334188.3095653061,4243501.755489796,45223.66922448983,-196.47142785068976,-196.99986017951542,0.5284323288256587
31,335695.7652061224,4243501.755489796,46731.124865306134,-195.80863996194023,-197.22292165352636,1.414281691586126
32,337203.2208469388,4243501.755489796,48238.5805061225,-196.97188744383925,-197.13641970072487,0.16453225688562156
33,338710.6764877551,4243501.755489796,49746.0361469388,-199.9622303219155,-197.19847853448618,-2.763751787429328
34,340218.1321285714,4243501.755489796,51253.491787755105,-197.50915596432264,-196.75024965071273,-0.7589063136099128
35,341725.58776938776,4243501.755489796,52760.94742857147,-201.669259012111,-196.69810973123347,-4.97114928087754
36,343233.04341020406,4243501.755489796,54268.40306938777,-205.3100940410577,-197.20556227709415,-8.104531763963564
37,344740.4990510204,4243501.755489796,55775.858710204135,-214.29384762824142,-198.7103896707369,-15.583457957504521
38,346247.9546918367,4243501.755489796,57283.31435102044,-218.78409940898607,-200.80954496727026,-17.97455444171581
39,347755.4103326531,4243501.755489796,58790.7699918368,-220.3718552069543,-203.62712633365737,-16.744728873296935
40,349262.8659734694,4243501.755489796,60298.225632653106,-225.6510619524965,-206.61850534477782,-19.032556607718675
41,350770.3216142857,4243501.755489796,61805.68127346941,-231.48837928823212,-209.80186456637256,-21.686514721859567
42,352277.77725510206,4243501.755489796,63313.13691428577,-237.80748857896836,-213.6199417133751,-24.187546865593248
43,353785.23289591837,4243501.755489796,64820.59255510208,-241.90516863925833,-217.70478545841317,-24.200383180845165
44,355292.68853673467,4243501.755489796,66328.04819591838,-242.2168616242905,-221.5461155768109,-20.670746047479582
45,356800.14417755103,4243501.755489796,67835.50383673474,-238.75062332266216,-225.29533988211452,-13.455283440547646
46,358307.59981836734,4243501.755489796,69342.95947755105,-235.62107709488137,-228.38186879873,-7.239208296151361
47,359815.05545918364,4243501.755489796,70850.41511836735,-231.53372106153174,-230.76583489150036,-0.7678861700313746
